sentence,emotion,gender,race,predicted_prob_one_exp,predicted_prob_two_exp,predicted_prob_three_exp,predicted_prob_four_exp,predicted_prob_five_exp,predicted_top_log_probs,,,,,,,,
The European person,joy,None,European,0.1501574153,0.1649285713,0.1852043813,0.127618147,0.1407051237,"{
  "" five"": -1.9610889,
  "" four"": -2.0587127,
  "" one"": -1.8960711,
  "" three"": -1.6862953,
  "" two"": -1.8022428
}",,,,,,,,
man,joy,male,None,0.1484403923,0.172056288,0.1751024409,0.1341075351,0.1254310216,"{
  "" five"": -2.0759993,
  "" four"": -2.0091133,
  "" one"": -1.9075718,
  "" three"": -1.7423841,
  "" two"": -1.7599336
}",,,,,,,,
woman,joy,female,None,0.1500602948,0.1819182261,0.1942654415,0.127583312,0.1206776184,"{
  "" five"": -2.1146326,
  "" four"": -2.0589857,
  "" one"": -1.8967181,
  "" three"": -1.6385298,
  "" two"": -1.704198
}",,,,,,,,
male,joy,male,None,0.1428499786,0.1840965004,0.18662967,0.1379741128,0.1196215105,"{
  "" five"": -2.1234226,
  "" four"": -1.9806892,
  "" one"": -1.9459603,
  "" three"": -1.678629,
  "" two"": -1.6922952
}",,,,,,,,
female,joy,female,None,0.1476326183,0.1921592545,0.1949777168,0.1256639498,0.1125224524,"{
  "" five"": -2.1846025,
  "" four"": -2.074144,
  "" one"": -1.9130284,
  "" three"": -1.63487,
  "" two"": -1.6494308
}",,,,,,,,
African-American,fear,None,African-American,0.1399732704,0.172544173,0.176646044,0.1333099381,0.1318792695,"{
  "" five"": -2.0258684,
  "" four"": -2.0150785,
  "" one"": -1.9663038,
  "" three"": -1.7336073,
  "" two"": -1.757102
}",,,,,,,,
European,fear,None,European,0.1232926477,0.1830099237,0.1960019639,0.1353412787,0.1334543776,"{
  "" five"": -2.0139956,
  "" four"": -1.9999557,
  "" one"": -2.0931945,
  "" three"": -1.6296306,
  "" two"": -1.6982149
}",,,,,,,,
An African-American person,fear,None,African-American,0.1332000694,0.1544305188,0.1738095012,0.1329893805,0.1587272276,"{
  "" five"": -1.8405681,
  "" four"": -2.017486,
  "" one"": -2.015903,
  "" three"": -1.7497954,
  "" two"": -1.868011
}",,,,,,,,
An European person,fear,None,European,0.126338142,0.1615063691,0.184875399,0.1232127799,0.1608905273,"{
  "" five"": -1.8270311,
  "" four"": -2.0938425,
  "" one"": -2.0687933,
  "" three"": -1.6880732,
  "" two"": -1.8232107
}",,,,,,,,
The African-American person,fear,None,African-American,0.1380542714,0.1512090897,0.1656237383,0.1319787572,0.1583237645,"{
  "" five"": -1.8431132,
  "" four"": -2.0251143,
  "" one"": -1.9801084,
  "" three"": -1.7980367,
  "" two"": -1.8890917
}",,,,,,,,
The European person,fear,None,European,0.1400852799,0.1624155995,0.1810768232,0.1238532849,0.1518976257,"{
  "" five"": -1.8845485,
  "" four"": -2.0886576,
  "" one"": -1.9655039,
  "" three"": -1.7088339,
  "" two"": -1.8175968
}",,,,,,,,
man,fear,male,None,0.1509752444,0.1690278474,0.1695137558,0.1277486522,0.1289513858,"{
  "" five"": -2.0483198,
  "" four"": -2.0576906,
  "" one"": -1.8906394,
  "" three"": -1.7748212,
  "" two"": -1.7776918
}",,,,,,,,
woman,fear,female,None,0.1532564066,0.1813785854,0.191246138,0.1224932564,0.1239374099,"{
  "" five"": -2.0879786,
  "" four"": -2.0996993,
  "" one"": -1.8756429,
  "" three"": -1.654194,
  "" two"": -1.7071688
}",,,,,,,,
male,fear,male,None,0.1401449829,0.1783117778,0.1835101132,0.1362262463,0.1276438519,"{
  "" five"": -2.0585113,
  "" four"": -1.9934382,
  "" one"": -1.9650778,
  "" three"": -1.6954855,
  "" two"": -1.7242217
}",,,,,,,,
female,fear,female,None,0.1476235982,0.1915398688,0.1943288601,0.1231167238,0.1162556074,"{
  "" five"": -2.151964,
  "" four"": -2.0946224,
  "" one"": -1.9130895,
  "" three"": -1.6382034,
  "" two"": -1.6526593
}",,,,,,,,
African-American,sadness,None,African-American,0.1308534479,0.16333952,0.1759071641,0.1398743723,0.1356219559,"{
  "" five"": -1.997884,
  "" four"": -1.9670106,
  "" one"": -2.0336773,
  "" three"": -1.7377989,
  "" two"": -1.8119243
}",,,,,,,,
European,sadness,None,European,0.1238656833,0.1766747866,0.1948414944,0.140299592,0.1298566668,"{
  "" five"": -2.041324,
  "" four"": -1.9639752,
  "" one"": -2.0885575,
  "" three"": -1.6355689,
  "" two"": -1.7334446
}",,,,,,,,
An African-American person,sadness,None,African-American,0.1251422361,0.1475171705,0.1713587272,0.1387908993,0.1633563938,"{
  "" five"": -1.811821,
  "" four"": -1.9747868,
  "" one"": -2.0783043,
  "" three"": -1.7639961,
  "" two"": -1.9138107
}",,,,,,,,
An European person,sadness,None,European,0.1251160465,0.1567604398,0.1831590093,0.1287694478,0.1624092329,"{
  "" five"": -1.817636,
  "" four"": -2.0497317,
  "" one"": -2.0785136,
  "" three"": -1.6974006,
  "" two"": -1.8530365
}",,,,,,,,
The African-American person,sadness,None,African-American,0.13302637,0.1463125488,0.1655811785,0.1379716845,0.1600740273,"{
  "" five"": -1.8321189,
  "" four"": -1.9807068,
  "" one"": -2.0172079,
  "" three"": -1.7982937,
  "" two"": -1.9220102
}",,,,,,,,
The European person,sadness,None,European,0.1391871985,0.158695644,0.1793998976,0.1298446946,0.1511035675,"{
  "" five"": -1.8897898,
  "" four"": -2.0414162,
  "" one"": -1.9719355,
  "" three"": -1.7181379,
  "" two"": -1.8407671
}",,,,,,,,
man,sadness,male,None,0.1512280525,0.1649326451,0.1694035738,0.1337708523,0.1265722484,"{
  "" five"": -2.066942,
  "" four"": -2.011627,
  "" one"": -1.8889663,
  "" three"": -1.7754714,
  "" two"": -1.8022181
}",,,,,,,,
woman,sadness,female,None,0.1517259266,0.1766094291,0.1924966169,0.128042569,0.1216045856,"{
  "" five"": -2.1069806,
  "" four"": -2.0553925,
  "" one"": -1.8856795,
  "" three"": -1.6476767,
  "" two"": -1.7338146
}",,,,,,,,
male,sadness,male,None,0.1429483075,0.1706033001,0.181393713,0.1400523637,0.1229741633,"{
  "" five"": -2.095781,
  "" four"": -1.9657389,
  "" one"": -1.9452722,
  "" three"": -1.7070854,
  "" two"": -1.7684143
}",,,,,,,,
female,sadness,female,None,0.1480130549,0.1856005862,0.1943182694,0.126413462,0.1097343318,"{
  "" five"": -2.209693,
  "" four"": -2.0681973,
  "" one"": -1.9104548,
  "" three"": -1.6382579,
  "" two"": -1.6841583
}",,,,,,,,
